step,reward,actor_loss,critic_loss,hypergradient,final_product,cosine_similarities
1,-0.6756756901741028,0.0016623293049633503,0.0632394403219223,0.03538363054394722,0.0019020221661776304,1.0000001192092896
2001,-0.5675675868988037,0.00018826962332241237,0.06983879208564758,0.03274432197213173,0.0021460214629769325,1.0
4001,-0.7117117047309875,-0.0008851891034282744,0.05279574170708656,0.020015478134155273,0.0012861756840720773,1.0
6001,-0.5585585832595825,-0.0019440347095951438,0.07045986503362656,0.04449976235628128,0.0016920838970690966,1.0
8001,-0.4954954981803894,-4.155063652433455e-05,0.07642795145511627,0.03792601451277733,0.001062326948158443,0.9999999403953552
10001,-0.531531572341919,-0.008872139267623425,0.06391187012195587,0.05866410583257675,0.0017439010553061962,1.0000001192092896
12001,-0.531531572341919,-0.004857990425080061,0.07699992507696152,0.03227880969643593,0.00185881566721946,1.0
14001,-0.5675675868988037,-0.0011971412459388375,0.06842959672212601,0.027868840843439102,0.003071246203035116,1.0
16001,-0.5855855941772461,-0.00021457434922922403,0.06584208458662033,0.02899768576025963,0.006223579868674278,1.0000001192092896
18001,-0.5585585832595825,-0.008684005588293076,0.059698496013879776,0.04551081731915474,0.0005775751196779311,1.0
20001,-0.5675675868988037,-0.006840846501290798,0.06621408462524414,0.04686438664793968,0.0007725176401436329,-0.9999999403953552
22001,-0.6576576828956604,-0.0055062249302864075,0.05856511741876602,0.033263690769672394,2.99631392408628e-05,-1.0000001192092896
24001,-0.5945945978164673,-0.012742833234369755,0.059709884226322174,0.053017668426036835,0.00017585976456757635,0.9999999403953552
26001,-0.5855855941772461,-0.010436676442623138,0.06295356899499893,0.047108959406614304,0.00020686729112640023,1.0000001192092896
28001,-0.46846848726272583,-0.010201502591371536,0.06668147444725037,0.039827726781368256,0.0005169010255485773,-1.0000001192092896
30001,-0.5135135054588318,-0.014346468262374401,0.06798818707466125,0.04232800006866455,8.579872519476339e-05,-1.0
32001,-0.5045045018196106,-0.017685698345303535,0.07724153250455856,0.05151330307126045,0.0003122671623714268,0.9999999403953552
